Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descritivo/Detalhamento;Link do Estudo de Regionalização;Município
137;2019;2018;;04/10/2019;SANTA CATARINA;Chapecó;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Chapecó
137;2019;2018;;04/10/2019;SANTA CATARINA;Cordilheira Alta;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Cordilheira Alta
137;2019;2018;;04/10/2019;SANTA CATARINA;Coronel Freitas;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Coronel Freitas
137;2019;2018;;04/10/2019;SANTA CATARINA;Formosa do Sul;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Formosa do Sul
137;2019;2018;;04/10/2019;SANTA CATARINA;Guatambú;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Guatambú
137;2019;2018;;04/10/2019;SANTA CATARINA;Irati;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Irati
137;2019;2018;;04/10/2019;SANTA CATARINA;Jardinópolis;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Jardinópolis
137;2019;2018;;04/10/2019;SANTA CATARINA;Nova Erechim;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Nova Erechim
137;2019;2018;;04/10/2019;SANTA CATARINA;Nova Itaberaba;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Nova Itaberaba
137;2019;2018;;04/10/2019;SANTA CATARINA;Pinhalzinho;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Pinhalzinho
137;2019;2018;;04/10/2019;SANTA CATARINA;Planalto Alegre;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Planalto Alegre
137;2019;2018;;04/10/2019;SANTA CATARINA;Quilombo;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Quilombo
137;2019;2018;;04/10/2019;SANTA CATARINA;Santiago do Sul;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Santiago do Sul
137;2019;2018;;04/10/2019;SANTA CATARINA;São Carlos;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;São Carlos
137;2019;2018;;04/10/2019;SANTA CATARINA;Serra Alta;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Serra Alta
137;2019;2018;;04/10/2019;SANTA CATARINA;Sul Brasil;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Sul Brasil
137;2019;2018;;04/10/2019;SANTA CATARINA;União do Oeste;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;União do Oeste
137;2019;2018;;04/10/2019;SANTA CATARINA;Alto Bela Vista;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Alto Bela Vista
137;2019;2018;;04/10/2019;SANTA CATARINA;Arabutã;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Arabutã
